route_id,route_short_name,route_long_name,route_type
1,1,Bus 1: New Maloya Colony => Mani Majra,3
2,2,Bus 2: New Maloya Colony => Mansa Devi,3
2A,2A,Bus 2A: Mani Majra => Mani Majra (Anticlockwise),3
2C,2C,Bus 2C: Mani Majra => Mani Majra (Clockwise),3
4A,4A,Bus 4A: ISBT-43 => ISBT-43 (Anticlockwise),3
4C,4C,Bus 4C: ISBT-43 => ISBT-43 (Clockwise),3
5A,5A,Bus 5A: Ram Darbar => Ram Darbar (Anticlockwise),3
5C,5C,Bus 5C: Ram Darbar => Ram Darbar (Clockwise),3
6,6,Bus 6: New Maloya Colony => Raipur Kalan,3
9A,9A,Bus 9A: Mansa Devi => Mansa Devi (Anticlockwise),3
9C,9C,Bus 9C: Mansa Devi => Mansa Devi (Clockwise),3
28A,28A,Bus 28A: ISBT-43 => Rani Majra,3
239,239,Bus 239: ISBT-43 => Sukhna Lake,3
28B,28B,Bus 28B: Parol => ISBT-43,3
2F,2F,Bus 2F: P.G.I. => Dhakoli Border,3
2G,2G,Bus 2G: P.G.I. => Panchkula Bus Stand,3
8,8,Bus 8: Mohali Phase XI => P.G.I.,3
10,10,Bus 10: Mani Majra => ISBT- 43,3
11,11,Bus 11: Civil Secretariat => Railway Station,3
17,17,Bus 17: Behlana => ISBT-43,3
18,18,Bus 18: Kaimbwala => ISBT-43,3
14,14,Bus 14: Mansa Devi => ISBT-43,3
20,20,Bus 20: ISBT-17 => Kharar,3
20A,20A,Bus 20A: Kharar => ISBT-17,3
22,22,Bus 22: IT Park => ISBT-43,3
23A,23A,Bus 23A:Khuda Ali Sher => ISBT-43,3
26,26,Bus 26: Dhakoli => Mullanpur Eco City,3
28,28,Bus 28: Mani Majra => New Maloya Colony,3
30,30,Bus 30: Nada Sahib => ISBT-43,3
30A,30A,Bus 30A: Cantonment => ISBT-43,3
30B,30B,Bus 30B: Ramgarh => ISBT-43,3
32,32,Bus 32: Dera Bassi => P.G.I,3
32B,32B,Bus 32B: Ramgarh => P.G.I.,3
34,34,Bus 34: Dera Bassi => P.G.I.,3
35,35,Bus 35: ISBT-17 => Kharar,3
35A,35A,Bus 35A: Sector-123 => ISBT-17,3
35B,35B,Bus 35B: Kharar => ISBT-17,3
38,38,Bus 38: P.G.I. =>Jheurherri,3
38A,38A,Bus 38A: Jheurherri => P.G.I.,3
39,39,Bus 39: P.G.I. => Mohali Phase-11,3
71,71,Bus 71: Kaimbwala => ISBT-43,3
79,79,Bus 79: Chhatbir Zoo => P.G.I.,3
80,80,Bus 80: Zirakpur => P.G.I.,3
85,85,Bus 85: ISBT-43 => Zirakpur,3
101,101,Bus 101: P.G.I. => Manoli,3
123A,123A,Bus 123A: Mohali Railway Station => P.G.I.,3
202,202,Bus 202: ISBT-43 => Civil Secretariat,3
C551E,C551E,Bus C551E: P.G.I. => ISBT-43,3
206,206,Bus 206: ISBT-43 => IT Park,3
212,212,Bus 212: Dera Bassi => P.G.I.,3
213,213,Bus 213: Dera Bassi => Landran,3
214,214,Bus 214: Nada Sahib => Mullanpur Eco City,3
219,219,Bus 219: Victoria Enclave => Dhanas,3
216,216,Bus 216: Dera Bassi => ISBT-43,3
240,240,Bus 240: Mansa Devi => ISBT-43,3
241,241,Bus 241: ISBT-43 => Mansa Devi,3
242,242,Bus 242: P.G.I. => Derri,3
