trip_id,stop_id,stop_sequence
r16450017,11230148264,0
r16450017,2914440106,1
r16450017,11230165511,2
r16450017,11230163714,3
r16450017,10000240246,4
r16450017,10744858599,5
r16450063,11148076756,0
r16450063,10000240246,1
r16450063,11230163714,2
r16450063,11230165511,3
r16450063,2914440106,4
r16450063,11230148264,5
r16454921,11335525458,0
r16454921,11230148264,1
r16454921,11230165511,2
r16454938,11230165511,0
r16454938,11230148264,1
r16454938,11335525458,2
r16454969,11335525458,0
r16454969,11335525457,1
r16454969,6970853271,2
r16454969,11335525459,3
r16454969,11053559568,4
r16454969,11147439160,5
r16454969,11230148264,6
r16454969,2914440106,7
r16454969,11230165511,8
r16454969,11230163714,9
r16454969,10000240246,10
r16454969,10744858599,11
r16454980,11148076756,0
r16454980,10000240246,1
r16454980,11230163714,2
r16454980,2914440106,3
r16454980,11147439160,4
r16454980,11053559568,5
r16454980,11335525459,6
r16454980,6970853271,7
r16454980,11335525457,8
r16454980,11335525458,9
r16454980,11230148264,10
r16454980,11230165511,11
r16455248,4306384689,0
r16455248,1041047045,1
r16455248,11147476433,2
r16455248,11053559568,3
r16455248,4461158789,4
r16455248,1425480419,5
r16455248,28845205,6
r16474801,4306384689,0
r16474801,4461159291,1
r16474801,11053559568,2
r16474801,11147476433,3
r16474801,1041047045,4
r16474801,1425480419,5
r16474801,28845205,6
r16474825,11364089920,0
r16474825,11335525457,1
r16474825,6970853271,2
r16474825,11335525459,3
r16474825,11053559568,4
r16474825,11053565187,5
r16474825,11053544182,6
r16474825,1425480419,7
r16474825,28845205,8
r16474825,4306384689,9
r16475122,1425480419,0
r16475122,28845205,1
r16475122,4306384689,2
r16475122,11053544182,3
r16475122,11053565187,4
r16475122,11053559568,5
r16475122,11335525459,6
r16475122,6970853271,7
r16475122,11335525457,8
r16475122,11364089920,9
r16475448,1425480419,0
r16475448,28845205,1
r16475448,4306384689,2
r16475448,813348337,3
r16475511,813348337,0
r16475511,4306384689,1
r16475511,1425480419,2
r16475511,28845205,3
r16476014,11148076756,0
r16476014,10000240246,1
r16476014,2914440106,2
r16476014,11335525458,3
r16476014,11335525457,4
r16476014,11230148264,5
r16476014,11230165511,6
r16476014,11230163714,7
r16476014,10744858599,8
r16476511,11148076756,0
r16476511,10000240246,1
r16476511,2914440106,2
r16476511,11335525457,3
r16476511,11335525458,4
r16476511,11230148264,5
r16476511,11230165511,6
r16476511,11230163714,7
r16476511,10744858599,8
r16476525,4306384689,0
r16476525,1041047045,1
r16476525,11053559568,2
r16476568,11053559568,0
r16476568,1041047045,1
r16476568,1425480419,2
r16476568,28845205,3
r16476602,4306384689,0
r16476602,1041047045,1
r16476602,11147476433,2
r16476619,11147476433,0
r16476619,1041047045,1
r16476619,1425480419,2
r16476619,28845205,3
r16481476,1425480419,0
r16481476,28845205,1
r16481587,11053559568,0
r16481587,11335525459,1
r16481587,6970853271,2
r16481587,11335525457,3
r16481587,11335525458,4
r16481587,11230148264,5
r16481587,2914440106,6
r16481587,11230165511,7
r16481587,11230163714,8
r16481587,10000240246,9
r16481587,11230226204,10
r16481587,10050998634,11
r16490639,10050939906,0
r16490639,11230226204,1
r16490639,10000240246,2
r16490639,11230163714,3
r16490639,11230165511,4
r16490639,2914440106,5
r16490639,11230148264,6
r16490639,11335525458,7
r16490639,11335525457,8
r16490639,6970853271,9
r16490639,11335525459,10
r16490639,11053559568,11
r16490647,11053559568,0
r16490647,11335525459,1
r16490647,6970853271,2
r16490647,11335525457,3
r16490647,11335525458,4
r16490647,11230148264,5
r16490647,11230165511,6
r16490647,11230163714,7
r16490647,10000240246,8
r16490647,11230226204,9
r16490654,11230226204,0
r16490654,10000240246,1
r16490654,11230163714,2
r16490654,11230165511,3
r16490654,11230148264,4
r16490654,11335525458,5
r16490654,11335525457,6
r16490654,11335525459,7
r16490654,6970853271,8
r16490654,11053559568,9
r16490718,1425480419,0
r16490718,28845205,1
r16490718,4306384689,2
r16490718,1041047045,3
r16490718,11147476433,4
r16490718,11053559568,5
r16490723,11053559568,0
r16490723,11147476433,1
r16490723,1041047045,2
r16490723,1425480419,3
r16490723,28845205,4
r16490723,4306384689,5
r16492522,11148076756,0
r16492522,10000240246,1
r16492522,11230163714,2
r16492522,11230165511,3
r16492522,2914440106,4
r16492522,11230148264,5
r16492522,1425480419,6
r16492522,28845205,7
r16492523,11230148264,0
r16492523,11230165511,1
r16492523,11230163714,2
r16492523,10000240246,3
r16492523,10744858599,4
r16492534,11335525459,0
r16492534,6970853271,1
r16492534,11335525457,2
r16492534,11335525458,3
r16492534,11230148264,4
r16492534,2914440106,5
r16492535,2914440106,0
r16492535,11230148264,1
r16492535,11335525458,2
r16492535,11335525457,3
r16492535,6970853271,4
r16492535,11335525459,5
r16492640,11147476433,0
r16492640,1425480419,1
r16492640,28845205,2
r16492641,4306384689,0
r16492641,11147476433,1
r16492677,1425480419,0
r16492677,28845205,1
r16494775,1041047045,0
r16494775,1425480419,1
r16494775,28845205,2
r16494776,4306384689,0
r16494776,1041047045,1
r16494912,11147476433,0
r16494912,1425480419,1
r16494912,28845205,2
r16494951,1425480419,0
r16494951,28845205,1
r16494951,11147476433,2
r16494973,9857905217,0
r16494973,1425480419,1
r16494973,28845205,2
r16494973,11147476433,3
r16494974,11147476433,0
r16494974,1425480419,1
r16494974,28845205,2
r16494974,5761967091,3
r16506719,11148076756,0
r16506719,10000240246,1
r16506719,11230163714,2
r16506719,11230165511,3
r16506719,2914440106,4
r16506719,11230148264,5
r16506719,1425480419,6
r16506719,28845205,7
r16506720,4306384689,0
r16506720,11230148264,1
r16506720,2914440106,2
r16506720,11230165511,3
r16506720,11230163714,4
r16506720,10000240246,5
r16506720,10744858599,6
r16506775,11147476433,0
r16506775,1041047045,1
r16506775,1425480419,2
r16506775,28845205,3
r16506776,4306384689,0
r16506776,1041047045,1
r16506776,11147476433,2
r16506818,11230148264,0
r16506818,2914440106,1
r16506818,11147439160,2
r16506818,11053559568,3
r16506819,11053559568,0
r16506819,11147439160,1
r16506819,11230148264,2
r16506819,2914440106,3
r16507527,11148076756,0
r16507527,10000240246,1
r16507527,11230163714,2
r16507527,11230165511,3
r16507527,2914440106,4
r16507527,11230148264,5
r16507527,11335525458,6
r16507527,11335525457,7
r16507527,6970853271,8
r16507527,11335525459,9
r16507528,11335525459,0
r16507528,6970853271,1
r16507528,11335525457,2
r16507528,11335525458,3
r16507528,11230148264,4
r16507528,2914440106,5
r16507528,11230165511,6
r16507528,11230163714,7
r16507528,10000240246,8
r16507528,10744858599,9
r16507557,11148076756,0
r16507557,10000240246,1
r16507557,11230163714,2
r16507557,11230165511,3
r16507557,11230148264,4
r16507557,11335525458,5
r16507557,11335525457,6
r16507557,11147476433,7
r16507557,1425480419,8
r16507557,28845205,9
r16507558,4306384689,0
r16507558,11147476433,1
r16507558,11335525457,2
r16507558,11335525458,3
r16507558,11230148264,4
r16507558,11230165511,5
r16507558,11230163714,6
r16507558,10000240246,7
r16507558,10744858599,8
r16507593,11148076756,0
r16507593,10000240246,1
r16507593,11230163714,2
r16507593,11230165511,3
r16507593,2914440106,4
r16507593,11230148264,5
r16507593,813348337,6
r16507593,1425480419,7
r16507593,28845205,8
r16507594,4306384689,0
r16507594,813348337,1
r16507594,11230148264,2
r16507594,2914440106,3
r16507594,11230165511,4
r16507594,11230163714,5
r16507594,10000240246,6
r16507594,10744858599,7
r16508426,10050939906,0
r16508426,11230226204,1
r16508426,10000240246,2
r16508426,11230163714,3
r16508426,11230165511,4
r16508426,11230148264,5
r16508426,11335525458,6
r16508426,11364089920,7
r16508426,11147476433,8
r16508426,1425480419,9
r16508426,28845205,10
r16508427,4306384689,0
r16508427,11147476433,1
r16508427,11364089920,2
r16508427,11335525458,3
r16508427,11230148264,4
r16508427,11230165511,5
r16508427,11230163714,6
r16508427,10000240246,7
r16508427,11230226204,8
r16508427,10050998634,9
r16508686,11148076756,0
r16508686,10000240246,1
r16508686,11230163714,2
r16508686,11230165511,3
r16508686,11230148264,4
r16508686,11335525458,5
r16508686,11335525457,6
r16508686,6970853271,7
r16508686,11335525459,8
r16508686,11053559568,9
r16508687,11053559568,0
r16508687,11335525459,1
r16508687,6970853271,2
r16508687,11335525457,3
r16508687,11335525458,4
r16508687,11230148264,5
r16508687,2914440106,6
r16508687,11230165511,7
r16508687,11230163714,8
r16508687,10000240246,9
r16508687,10744858599,10
r16509592,10050939906,0
r16509592,11230226204,1
r16509592,10000240246,2
r16509592,11230163714,3
r16509592,11230165511,4
r16509592,2914440106,5
r16509592,11230148264,6
r16509592,11335525458,7
r16509592,11335525457,8
r16509592,6970853271,9
r16509592,11335525459,10
r16509592,11053559568,11
r16509593,11053559568,0
r16509593,11335525459,1
r16509593,6970853271,2
r16509593,11335525457,3
r16509593,11335525458,4
r16509593,11230148264,5
r16509593,2914440106,6
r16509593,11230165511,7
r16509593,11230163714,8
r16509593,10000240246,9
r16509593,11230226204,10
r16509593,10050998634,11
r16509633,12596227210,0
r16509633,12596212878,1
r16509633,813348337,2
r16509633,11147476433,3
r16509633,11053559568,4
r16509634,11053559568,0
r16509634,11147476433,1
r16509634,813348337,2
r16509634,12596212878,3
r16509634,12596227210,4
r16512010,11147476433,0
r16512010,4461159291,1
r16512010,13131328587,2
r16512060,4461159291,0
r16512060,4461158789,1
r16512060,11147476433,2
r16512121,4461159291,0
r16512121,4461158789,1
r16512121,11053544182,2
r16512121,11053565187,3
r16512121,11053559568,4
r16512122,11053559568,0
r16512122,11053565187,1
r16512122,11053544182,2
r16512122,4461159291,3
r16512122,13131328587,4
r16512134,4461159291,0
r16512134,4461158789,1
r16512134,1425480419,2
r16512134,28845205,3
r16512134,4306384689,4
r16512134,11147476433,5
r16512135,11147476433,0
r16512135,28845205,1
r16512135,1425480419,2
r16512135,4461159291,3
r16512135,13131328587,4
r16513790,11053559568,0
r16513790,1425480419,1
r16513790,28845205,2
r16514043,1425480419,0
r16514043,28845205,1
r16514043,4306384689,2
r16514043,11053559568,3
r16514100,5761967091,0
r16514100,1425480419,1
r16514100,28845205,2
r16514100,4306384689,3
r16514100,11053559568,4
r16514101,11053559568,0
r16514101,1425480419,1
r16514101,28845205,2
r16514101,9857905217,3
r16514262,11053559568,0
r16514262,1425480419,1
r16514262,28845205,2
r16516440,1425480419,0
r16516440,28845205,1
r16516440,4306384689,2
r16516440,11053559568,3
r16516479,11230165511,0
r16516479,11230148264,1
r16516479,11335525458,2
r16516479,11364089920,3
r16516479,1041047045,4
r16516479,1425480419,5
r16516479,28845205,6
r16516480,4306384689,0
r16516480,1041047045,1
r16516480,11364089920,2
r16516480,11335525458,3
r16516480,11230148264,4
r16516480,11230165511,5
r16517246,813348337,0
r16517246,11147476433,1
r16517246,11053559568,2
r16517247,11053559568,0
r16517247,11147476433,1
r16517247,813348337,2
r16517793,11147476433,0
r16517793,11053559568,1
r16517794,11053559568,0
r16517794,11147476433,1
r16517803,4306384689,0
r16517803,11147476433,1
r16517803,813348337,2
r16517804,813348337,0
r16517804,11147476433,1
r16517804,1425480419,2
r16517804,28845205,3
r16517856,11053559568,0
r16517856,11147476433,1
r16519349,11147476433,0
r16519349,11053559568,1
r16519387,1425480419,0
r16519387,28845205,1
r16519387,4306384689,2
r16519387,1041047045,3
r16519387,11147476433,4
r16519387,11053559568,5
r16519388,11053559568,0
r16519388,11147476433,1
r16519388,1041047045,2
r16519388,1425480419,3
r16519388,28845205,4
r16519388,1527087489,5
r16521346,1425480419,0
r16521346,28845205,1
r16521782,11053559568,0
r16521782,11147476433,1
r16521782,1041047045,2
r16521782,1425480419,3
r16521782,28845205,4
r16521783,4306384689,0
r16521783,1041047045,1
r16521783,11147476433,2
r16521783,11053559568,3
r16521808,4306384689,0
r16521808,11335525459,1
r16521808,6970853271,2
r16521808,11335525457,3
r16521808,11335525458,4
r16521808,11230148264,5
r16521808,2914440106,6
r16521808,11230165511,7
r16521808,11230163714,8
r16521808,10000240246,9
r16521808,10744858599,10
r16521811,11148076756,0
r16521811,10000240246,1
r16521811,11230163714,2
r16521811,11230165511,3
r16521811,2914440106,4
r16521811,11230148264,5
r16521811,11335525458,6
r16521811,11335525457,7
r16521811,6970853271,8
r16521811,11335525459,9
r16521811,1425480419,10
r16521811,28845205,11
r16522555,12596227210,0
r16522555,12596212878,1
r16522555,813348337,2
r16522555,11147476433,3
r16522555,11053559568,4
r16522556,11053559568,0
r16522556,11147476433,1
r16522556,813348337,2
r16522556,12596212878,3
r16522556,12596227210,4
r16522634,12596227210,0
r16522634,12596212878,1
r16522634,813348337,2
r16522634,1425480419,3
r16522634,28845205,4
r16522634,5761967091,5
r16522635,9857905217,0
r16522635,1425480419,1
r16522635,28845205,2
r16522635,4306384689,3
r16522635,813348337,4
r16522635,12596212878,5
r16522635,12596227210,6
r16522852,11148076756,0
r16522852,10000240246,1
r16522852,11230163714,2
r16522852,11230165511,3
r16522852,2914440106,4
r16522852,11230148264,5
r16522852,11053559568,6
r16522853,11053559568,0
r16522853,11230148264,1
r16522853,2914440106,2
r16522853,11230165511,3
r16522853,11230163714,4
r16522853,10000240246,5
r16522853,10744858599,6
r16522892,813348337,0
r16522892,11147476433,1
r16522892,11053559568,2
r16522893,11053559568,0
r16522893,11147476433,1
r16522893,813348337,2
r16522922,12596227210,0
r16522922,12596212878,1
r16522922,813348337,2
r16522922,11147476433,3
r16522922,1425480419,4
r16522922,28845205,5
r16522923,4306384689,0
r16522923,11147476433,1
r16522923,813348337,2
r16522923,12596212878,3
r16522923,12596227210,4
r16523079,11148076756,0
r16523079,10000240246,1
r16523079,11230163714,2
r16523079,11230165511,3
r16523079,2914440106,4
r16523079,11230148264,5
r16523079,11147476433,6
r16523079,1041047045,7
r16523079,1425480419,8
r16523079,28845205,9
r16523080,4306384689,0
r16523080,1041047045,1
r16523080,11147476433,2
r16523080,11230148264,3
r16523080,2914440106,4
r16523080,11230165511,5
r16523080,11230163714,6
r16523080,10000240246,7
r16523080,10744858599,8
r16523623,1425480419,0
r16523623,11364089920,1
r16523623,11335525458,2
r16523623,11230148264,3
r16523623,2914440106,4
r16523623,11230165511,5
r16523623,11230163714,6
r16523623,10000240246,7
r16523623,10744858599,8
r16523644,11148076756,0
r16523644,10000240246,1
r16523644,11230163714,2
r16523644,11230165511,3
r16523644,2914440106,4
r16523644,11230148264,5
r16523644,11335525458,6
r16523644,11364089920,7
r16523644,1425480419,8
r16523644,28845205,9
r16523676,11053559568,0
r16523676,11147476433,1
r16523676,1041047045,2
r16523676,28845205,3
r16523676,1425480419,4
r16523677,1425480419,0
r16523677,28845205,1
r16523677,4306384689,2
r16523677,1041047045,3
r16523677,11147476433,4
r16523677,11053559568,5
