route_id,trip_id,trip_headsign,direction_id
1,r16450017,Mani Majra,0
1,r16450063,New Maloya Colony,1
2,r16454921,Mansa Devi,0
2,r16454938,New Maloya Colony,1
2A,r16454969,Mani Majra (Anticlockwise),0
2C,r16454980,Mani Majra (Clockwise),0
4A,r16455248,ISBT-43 (Anticlockwise),0
4C,r16474801,ISBT-43 (Clockwise),0
5A,r16474825,Ram Darbar (Anticlockwise),0
5C,r16475122,Ram Darbar (Clockwise),0
6,r16475448,Raipur Kalan,0
6,r16475511,New Maloya Colony,1
9A,r16476014,Mansa Devi (Anticlockwise),0
9C,r16476511,Mansa Devi (Clockwise),0
28A,r16476525,Rani Majra,0
28A,r16476568,ISBT-43,1
239,r16476602,Sukhna Lake,0
239,r16476619,ISBT-43,1
28B,r16481476,ISBT-43,0
2F,r16481587,Dhakoli Border,0
2F,r16490639,P.G.I.,1
2G,r16490647,Panchkula Bus Stand,0
2G,r16490654,P.G.I.,1
8,r16490718,P.G.I.,0
8,r16490723,Mohali Phase XI,1
10,r16492522,ISBT- 43,0
10,r16492523,Mani Majra,1
11,r16492534,Railway Station,0
11,r16492535,Civil Secretariat,1
17,r16492640,ISBT-43,0
17,r16492641,Behlana,1
18,r16492677,ISBT-43,0
14,r16494775,ISBT-43,0
14,r16494776,Mansa Devi,1
20,r16494912,Kharar,0
20,r16494951,ISBT-17,1
20A,r16494973,ISBT-17,0
20A,r16494974,Kharar,1
22,r16506719,ISBT-43,0
22,r16506720,IT Park,1
23A,r16506775,ISBT-43,0
23A,r16506776,Khuda Ali Sher,1
26,r16506818,Mullanpur Eco City,0
26,r16506819,Dhakoli,1
28,r16507527,New Maloya Colony,0
28,r16507528,Mani Majra,1
30,r16507557,ISBT-43,0
30,r16507558,Nada Sahib,1
30A,r16507593,ISBT-43,0
30A,r16507594,Cantonment,1
30B,r16508426,ISBT-43,0
30B,r16508427,Ramgarh,1
32,r16508686,P.G.I,0
32,r16508687,Dera Bassi,1
32B,r16509592,P.G.I.,0
32B,r16509593,Ramgarh,1
34,r16509633,P.G.I.,0
34,r16509634,Dera Bassi,1
35,r16512010,Kharar,0
35,r16512060,ISBT-17,1
35A,r16512121,ISBT-17,0
35A,r16512122,Sector-123,1
35B,r16512134,ISBT-17,0
35B,r16512135,Kharar,1
38,r16513790,Jheurherri,0
38,r16514043,P.G.I.,1
38A,r16514100,P.G.I.,0
38A,r16514101,Jheurherri,1
39,r16514262,Mohali Phase-11,0
39,r16516440,P.G.I.,1
71,r16516479,ISBT-43,0
71,r16516480,Kaimbwala,1
79,r16517246,P.G.I.,0
79,r16517247,Chhatbir Zoo,1
80,r16517793,P.G.I.,0
80,r16517794,Zirakpur,1
85,r16517803,Zirakpur,0
85,r16517804,ISBT-43,1
101,r16517856,Manoli,0
101,r16519349,P.G.I.,1
123A,r16519387,P.G.I.,0
123A,r16519388,Mohali Railway Station,1
202,r16521346,Civil Secretariat,0
C551E,r16521782,ISBT-43,0
C551E,r16521783,P.G.I.,1
206,r16521808,IT Park,0
206,r16521811,ISBT-43,1
212,r16522555,P.G.I.,0
212,r16522556,Dera Bassi,1
213,r16522634,Landran,0
213,r16522635,Dera Bassi,1
214,r16522852,Mullanpur Eco City,0
214,r16522853,Nada Sahib,1
219,r16522892,Dhanas,0
219,r16522893,Victoria Enclave,1
216,r16522922,ISBT-43,0
216,r16522923,Dera Bassi,1
240,r16523079,ISBT-43,0
240,r16523080,Mansa Devi,1
241,r16523623,Mansa Devi,0
241,r16523644,ISBT-43,1
242,r16523676,Derri,0
242,r16523677,P.G.I.,1
